Generations, Loop, Times (miliseconds), Answer
25,1534003,22,711
50,1639627,41,711
75,1795650,60,711
100,2000401,80,711
125,2256405,97,711
150,2562769,115,688
175,2915805,132,711
200,3321510,152,711
225,3776267,171,711
250,4282372,191,711
275,4838373,213,711
