Generations, Loop, Times (miliseconds), Answer
25,669717,7,165
50,679409,10,165
75,696992,18,165
100,725195,30,165
125,741132,15,165
150,775243,34,165
175,800643,23,165
200,831324,33,165
225,875598,48,165
250,919258,44,165
275,958103,32,165
