Generations, Loop, Times (miliseconds), Answer
25,966350,5,548
50,982433,9,527
75,1006303,13,548
100,1037931,18,548
125,1077492,22,548
150,1124593,26,506
175,1179561,30,548
200,1242276,35,548
225,1312790,39,527
250,1391256,44,548
275,1477394,48,548
