Generations, Loop, Times (miliseconds), Answer
25,8324911576,134377,30287
50,9301016025,256465,34389
75,10736316305,397548,36679
100,12656870960,520596,38706
125,15087596624,667739,39457
150,18053183807,830764,40092
175,21533565518,980069,40563
200,25530853095,1147896,40841
225,30106198887,1315144,40991
250,35173867026,1440422,41134
275,40841329699,1631066,41182
